,USDJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,USDJPY_i,103.523,103.376,103.375,103.614,103.4945,103.455,103.43525,103.47200000000001,10494,2020-12-21 16:00:00
1,USDJPY_i,103.376,103.314,103.276,103.408,103.342,103.33266666666667,103.328,103.3435,6767,2020-12-21 20:00:00
2,USDJPY_i,103.321,103.413,103.272,103.457,103.36449999999999,103.38066666666667,103.38875,103.36574999999999,4992,2020-12-22 00:00:00
3,USDJPY_i,103.413,103.452,103.338,103.471,103.4045,103.42033333333332,103.42824999999999,103.4185,5029,2020-12-22 04:00:00
4,USDJPY_i,103.452,103.388,103.348,103.46,103.404,103.39866666666667,103.39600000000002,103.412,8285,2020-12-22 08:00:00
5,USDJPY_i,103.388,103.464,103.309,103.484,103.3965,103.419,103.43025,103.41125,10223,2020-12-22 12:00:00
6,USDJPY_i,103.464,103.641,103.426,103.726,103.576,103.59766666666667,103.6085,103.56425,11038,2020-12-22 16:00:00
7,USDJPY_i,103.641,103.635,103.568,103.715,103.64150000000001,103.63933333333334,103.63825,103.63975,5343,2020-12-22 20:00:00
8,USDJPY_i,103.629,103.556,103.494,103.634,103.564,103.56133333333332,103.55999999999999,103.57825,5362,2020-12-23 00:00:00
9,USDJPY_i,103.556,103.425,103.423,103.558,103.4905,103.46866666666666,103.45775,103.4905,4072,2020-12-23 04:00:00
10,USDJPY_i,103.426,103.438,103.347,103.487,103.417,103.42399999999999,103.4275,103.4245,6658,2020-12-23 08:00:00
11,USDJPY_i,103.438,103.504,103.397,103.593,103.495,103.498,103.49950000000001,103.483,7650,2020-12-23 12:00:00
12,USDJPY_i,103.504,103.59,103.378,103.634,103.506,103.53399999999999,103.548,103.5265,12522,2020-12-23 16:00:00
13,USDJPY_i,103.59,103.54,103.484,103.644,103.564,103.556,103.552,103.56450000000001,4499,2020-12-23 20:00:00
14,USDJPY_i,103.526,103.574,103.503,103.613,103.55799999999999,103.56333333333333,103.566,103.554,5032,2020-12-24 00:00:00
15,USDJPY_i,103.574,103.55,103.494,103.594,103.544,103.54599999999999,103.547,103.553,3924,2020-12-24 04:00:00
16,USDJPY_i,103.55,103.644,103.541,103.669,103.60499999999999,103.618,103.6245,103.601,4777,2020-12-24 08:00:00
17,USDJPY_i,103.645,103.672,103.602,103.687,103.6445,103.65366666666667,103.65825000000001,103.6515,4424,2020-12-24 12:00:00
18,USDJPY_i,103.673,103.648,103.602,103.759,103.6805,103.66966666666667,103.66425000000001,103.6705,4515,2020-12-24 16:00:00
19,USDJPY_i,103.646,103.661,103.637,103.696,103.6665,103.66466666666668,103.66375000000001,103.66000000000001,1514,2020-12-24 20:00:00
20,USDJPY_i,103.54,103.553,103.442,103.627,103.5345,103.54066666666665,103.54374999999999,103.5405,6260,2020-12-28 00:00:00
21,USDJPY_i,103.552,103.445,103.398,103.602,103.5,103.48166666666667,103.4725,103.49925,3642,2020-12-28 04:00:00
22,USDJPY_i,103.448,103.452,103.395,103.49,103.4425,103.44566666666667,103.44725,103.44624999999999,4869,2020-12-28 08:00:00
23,USDJPY_i,103.452,103.601,103.439,103.699,103.56899999999999,103.57966666666665,103.585,103.54775,8983,2020-12-28 12:00:00
24,USDJPY_i,103.601,103.841,103.596,103.89,103.743,103.77566666666667,103.792,103.732,7713,2020-12-28 16:00:00
25,USDJPY_i,103.841,103.773,103.771,103.863,103.81700000000001,103.80233333333335,103.79500000000002,103.81200000000001,3485,2020-12-28 20:00:00
26,USDJPY_i,103.783,103.742,103.658,103.81,103.73400000000001,103.73666666666668,103.73800000000001,103.74825000000001,5566,2020-12-29 00:00:00
27,USDJPY_i,103.748,103.679,103.614,103.777,103.69550000000001,103.69000000000001,103.68725,103.70450000000001,4909,2020-12-29 04:00:00
28,USDJPY_i,103.679,103.662,103.592,103.716,103.654,103.65666666666668,103.65800000000002,103.66225,5679,2020-12-29 08:00:00
29,USDJPY_i,103.662,103.658,103.618,103.747,103.6825,103.67433333333334,103.67025000000001,103.67125000000001,6498,2020-12-29 12:00:00
30,USDJPY_i,103.658,103.515,103.453,103.66,103.5565,103.54266666666666,103.53575,103.5715,10042,2020-12-29 16:00:00
31,USDJPY_i,103.515,103.563,103.495,103.571,103.533,103.543,103.548,103.536,3529,2020-12-29 20:00:00
32,USDJPY_i,103.566,103.347,103.328,103.582,103.455,103.419,103.401,103.45575,6275,2020-12-30 00:00:00
33,USDJPY_i,103.347,103.322,103.255,103.382,103.3185,103.31966666666666,103.32025,103.3265,5877,2020-12-30 04:00:00
34,USDJPY_i,103.321,103.225,103.195,103.378,103.28649999999999,103.266,103.25575,103.27975,6089,2020-12-30 08:00:00
35,USDJPY_i,103.225,103.034,102.981,103.233,103.107,103.08266666666667,103.0705,103.11824999999999,9694,2020-12-30 12:00:00
36,USDJPY_i,103.035,103.235,102.953,103.348,103.1505,103.17866666666667,103.19275,103.14275,10440,2020-12-30 16:00:00
37,USDJPY_i,103.239,103.177,103.177,103.286,103.23150000000001,103.21333333333335,103.20425000000002,103.21975,3629,2020-12-30 20:00:00
38,USDJPY_i,103.175,103.118,103.05,103.225,103.13749999999999,103.13099999999999,103.12774999999999,103.142,3001,2020-12-31 00:00:00
39,USDJPY_i,103.118,103.124,103.071,103.198,103.1345,103.13100000000001,103.12925000000001,103.12775,3804,2020-12-31 04:00:00
40,USDJPY_i,103.124,103.003,102.985,103.182,103.0835,103.05666666666667,103.04325,103.0735,7600,2020-12-31 08:00:00
41,USDJPY_i,103.004,103.058,102.989,103.088,103.0385,103.045,103.04825,103.03475,7235,2020-12-31 12:00:00
42,USDJPY_i,103.059,103.287,102.986,103.308,103.147,103.19366666666667,103.21700000000001,103.16,8813,2020-12-31 16:00:00
43,USDJPY_i,103.287,103.244,103.233,103.293,103.263,103.25666666666666,103.2535,103.26425,930,2020-12-31 20:00:00
44,USDJPY_i,103.193,103.048,102.988,103.309,103.1485,103.11500000000001,103.09825000000001,103.1345,7176,2021-01-04 00:00:00
45,USDJPY_i,103.048,102.998,102.926,103.067,102.9965,102.997,102.99725,103.00975,5458,2021-01-04 04:00:00
46,USDJPY_i,102.997,102.734,102.704,103.056,102.88,102.83133333333332,102.80699999999999,102.87275,7841,2021-01-04 08:00:00
47,USDJPY_i,102.735,103.018,102.705,103.048,102.8765,102.92366666666665,102.94725,102.8765,9858,2021-01-04 12:00:00
48,USDJPY_i,103.018,103.167,102.992,103.247,103.1195,103.13533333333334,103.14325,103.106,12911,2021-01-04 16:00:00
49,USDJPY_i,103.166,103.121,103.098,103.184,103.14099999999999,103.13433333333332,103.13099999999999,103.14224999999999,5906,2021-01-04 20:00:00
50,USDJPY_i,103.095,103.118,103.047,103.183,103.11500000000001,103.116,103.1165,103.11075,5338,2021-01-05 00:00:00
51,USDJPY_i,103.117,102.944,102.926,103.143,103.03450000000001,103.00433333333335,102.98925000000001,103.03250000000001,6945,2021-01-05 04:00:00
52,USDJPY_i,102.947,102.828,102.805,102.988,102.8965,102.87366666666667,102.86224999999999,102.892,8567,2021-01-05 08:00:00
53,USDJPY_i,102.828,102.908,102.788,102.934,102.86099999999999,102.87666666666667,102.8845,102.86449999999999,9245,2021-01-05 12:00:00
54,USDJPY_i,102.907,102.643,102.597,102.939,102.768,102.72633333333333,102.7055,102.77149999999999,12202,2021-01-05 16:00:00
55,USDJPY_i,102.643,102.703,102.618,102.745,102.6815,102.68866666666668,102.69225,102.67725000000002,4833,2021-01-05 20:00:00
56,USDJPY_i,102.684,102.766,102.584,102.815,102.6995,102.72166666666668,102.73275000000001,102.71225000000001,8545,2021-01-06 00:00:00
57,USDJPY_i,102.764,102.778,102.705,102.862,102.7835,102.78166666666668,102.78075000000001,102.77725000000001,10198,2021-01-06 04:00:00
58,USDJPY_i,102.779,102.856,102.667,102.877,102.77199999999999,102.8,102.814,102.79475,9224,2021-01-06 08:00:00
59,USDJPY_i,102.856,103.167,102.751,103.19,102.9705,103.036,103.06875,102.991,9541,2021-01-06 12:00:00
60,USDJPY_i,103.167,103.198,103.141,103.435,103.28800000000001,103.258,103.243,103.23525000000001,14043,2021-01-06 16:00:00
