,USDRUR_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,USDRUR_i,73.003,72.995,72.794,73.057,72.9255,72.94866666666667,72.96025,72.96225,9978,2020-12-11 20:00:00
1,USDRUR_i,73.092,73.015,72.944,73.132,73.03800000000001,73.03033333333333,73.0265,73.04575,264,2020-12-14 00:00:00
2,USDRUR_i,73.013,73.03,72.868,73.036,72.952,72.978,72.991,72.98675,255,2020-12-14 04:00:00
3,USDRUR_i,73.021,72.825,72.69,73.024,72.857,72.84633333333333,72.841,72.89,10855,2020-12-14 08:00:00
4,USDRUR_i,72.829,72.792,72.785,73.0,72.8925,72.859,72.84225,72.8515,9841,2020-12-14 12:00:00
5,USDRUR_i,72.785,73.75,72.785,73.834,73.3095,73.45633333333333,73.52975,73.2885,13916,2020-12-14 16:00:00
6,USDRUR_i,73.757,73.736,73.549,73.931,73.74000000000001,73.73866666666667,73.738,73.74325,11307,2020-12-14 20:00:00
7,USDRUR_i,73.729,73.669,73.555,74.088,73.8215,73.77066666666667,73.74525,73.76025,806,2020-12-15 00:00:00
8,USDRUR_i,73.71,73.498,73.449,73.793,73.62100000000001,73.58,73.5595,73.6125,1330,2020-12-15 04:00:00
9,USDRUR_i,73.49,73.374,73.24,73.545,73.3925,73.38633333333333,73.38325,73.41225,9724,2020-12-15 08:00:00
10,USDRUR_i,73.372,73.551,73.205,73.743,73.47399999999999,73.49966666666666,73.51249999999999,73.46775,9394,2020-12-15 12:00:00
11,USDRUR_i,73.553,73.286,73.283,73.636,73.45949999999999,73.40166666666666,73.37275,73.4395,12162,2020-12-15 16:00:00
12,USDRUR_i,73.294,73.041,73.03,73.362,73.196,73.14433333333334,73.1185,73.18175,9562,2020-12-15 20:00:00
13,USDRUR_i,73.042,73.279,73.042,73.285,73.1635,73.202,73.22125,73.162,468,2020-12-16 00:00:00
14,USDRUR_i,73.279,73.311,73.211,73.408,73.3095,73.31,73.31025,73.30225,641,2020-12-16 04:00:00
15,USDRUR_i,73.312,73.185,73.153,73.48,73.3165,73.27266666666667,73.25075000000001,73.2825,7981,2020-12-16 08:00:00
16,USDRUR_i,73.178,73.355,73.165,73.444,73.3045,73.32133333333333,73.32975,73.2855,8366,2020-12-16 12:00:00
17,USDRUR_i,73.357,73.26,73.259,73.61,73.4345,73.37633333333333,73.34725,73.3715,10950,2020-12-16 16:00:00
18,USDRUR_i,73.255,73.335,73.145,73.495,73.32,73.32499999999999,73.32749999999999,73.30749999999999,10990,2020-12-16 20:00:00
19,USDRUR_i,73.203,73.163,73.146,73.384,73.265,73.231,73.214,73.22399999999999,657,2020-12-17 00:00:00
20,USDRUR_i,73.164,73.1,73.032,73.201,73.1165,73.111,73.10825,73.12425,589,2020-12-17 04:00:00
21,USDRUR_i,73.085,72.746,72.555,73.122,72.83850000000001,72.80766666666666,72.79225,72.877,8652,2020-12-17 08:00:00
22,USDRUR_i,72.748,72.92,72.655,73.013,72.834,72.86266666666667,72.87700000000001,72.834,9512,2020-12-17 12:00:00
23,USDRUR_i,72.925,72.797,72.71,72.984,72.847,72.83033333333333,72.822,72.854,11121,2020-12-17 16:00:00
24,USDRUR_i,72.796,72.847,72.701,72.903,72.80199999999999,72.817,72.82449999999999,72.81174999999999,9228,2020-12-17 20:00:00
25,USDRUR_i,72.882,73.02,72.825,73.089,72.957,72.978,72.98849999999999,72.954,437,2020-12-18 00:00:00
26,USDRUR_i,73.019,73.144,72.9,73.215,73.0575,73.08633333333334,73.10075,73.0695,907,2020-12-18 04:00:00
27,USDRUR_i,73.155,73.4,72.929,73.476,73.2025,73.26833333333333,73.30125000000001,73.24000000000001,9455,2020-12-18 08:00:00
28,USDRUR_i,73.395,73.483,73.39,73.795,73.5925,73.556,73.53775,73.51575,10535,2020-12-18 12:00:00
29,USDRUR_i,73.482,73.394,73.26,73.556,73.408,73.40333333333334,73.40100000000001,73.423,12269,2020-12-18 16:00:00
30,USDRUR_i,73.4,73.339,73.198,73.506,73.352,73.34766666666667,73.3455,73.36075,9148,2020-12-18 20:00:00
31,USDRUR_i,73.951,73.862,73.646,74.007,73.82650000000001,73.83833333333334,73.84425,73.8665,1375,2020-12-21 00:00:00
32,USDRUR_i,73.843,73.967,73.827,74.065,73.946,73.95299999999999,73.95649999999999,73.9255,1165,2020-12-21 04:00:00
33,USDRUR_i,74.009,74.91,73.885,74.99,74.4375,74.595,74.67375,74.4485,9392,2020-12-21 08:00:00
34,USDRUR_i,74.905,75.08,74.895,75.38,75.13749999999999,75.11833333333333,75.10874999999999,75.065,9659,2020-12-21 12:00:00
35,USDRUR_i,75.065,74.66,74.658,75.103,74.8805,74.807,74.77025,74.8715,11414,2020-12-21 16:00:00
36,USDRUR_i,74.658,74.583,74.455,74.798,74.6265,74.612,74.60475,74.62349999999999,8400,2020-12-21 20:00:00
37,USDRUR_i,74.605,74.754,74.462,74.801,74.6315,74.67233333333333,74.69275,74.6555,321,2020-12-22 00:00:00
38,USDRUR_i,74.763,74.803,74.689,74.999,74.844,74.83033333333333,74.8235,74.8135,586,2020-12-22 04:00:00
39,USDRUR_i,74.838,75.435,74.796,75.476,75.136,75.23566666666666,75.2855,75.13624999999999,7742,2020-12-22 08:00:00
40,USDRUR_i,75.428,75.238,75.105,75.5,75.30250000000001,75.281,75.27025,75.31775,7690,2020-12-22 12:00:00
41,USDRUR_i,75.239,75.59,75.22,75.672,75.446,75.494,75.518,75.43025,13990,2020-12-22 16:00:00
42,USDRUR_i,75.584,75.833,75.535,75.967,75.751,75.77833333333334,75.792,75.72975,10977,2020-12-22 20:00:00
43,USDRUR_i,75.786,75.851,75.688,75.933,75.8105,75.824,75.83075,75.81450000000001,706,2020-12-23 00:00:00
44,USDRUR_i,75.816,75.785,75.749,75.918,75.8335,75.81733333333334,75.80924999999999,75.81700000000001,769,2020-12-23 04:00:00
45,USDRUR_i,75.772,75.265,75.165,75.792,75.4785,75.40733333333333,75.37174999999999,75.49849999999999,9359,2020-12-23 08:00:00
46,USDRUR_i,75.266,75.022,74.95,75.321,75.13550000000001,75.09766666666667,75.07875,75.13975,10323,2020-12-23 12:00:00
47,USDRUR_i,75.024,74.891,74.625,75.072,74.8485,74.86266666666667,74.86975000000001,74.903,12105,2020-12-23 16:00:00
48,USDRUR_i,74.892,74.919,74.823,75.179,75.001,74.97366666666666,74.96,74.95325,10087,2020-12-23 20:00:00
49,USDRUR_i,74.902,74.987,74.75,75.144,74.947,74.96033333333334,74.967,74.94575,324,2020-12-24 00:00:00
50,USDRUR_i,74.988,74.935,74.888,75.085,74.9865,74.96933333333334,74.96075,74.974,900,2020-12-24 04:00:00
51,USDRUR_i,74.921,74.596,74.336,75.163,74.7495,74.69833333333334,74.67275000000001,74.754,13185,2020-12-24 08:00:00
52,USDRUR_i,74.6,74.104,74.058,74.62,74.339,74.26066666666667,74.22149999999999,74.34549999999999,15526,2020-12-24 12:00:00
53,USDRUR_i,74.105,73.933,73.844,74.154,73.999,73.97699999999999,73.966,74.009,13307,2020-12-24 16:00:00
54,USDRUR_i,73.935,73.932,73.745,73.968,73.85650000000001,73.88166666666667,73.89425000000001,73.89500000000001,4500,2020-12-24 20:00:00
55,USDRUR_i,74.072,74.084,73.721,74.138,73.9295,73.98100000000001,74.00675000000001,74.00375,42,2020-12-28 00:00:00
56,USDRUR_i,74.084,73.949,73.747,74.235,73.991,73.97699999999999,73.97,74.00375,375,2020-12-28 04:00:00
57,USDRUR_i,73.948,73.635,73.43,74.122,73.77600000000001,73.729,73.7055,73.78375,8954,2020-12-28 08:00:00
58,USDRUR_i,73.631,73.646,73.54,73.761,73.6505,73.649,73.64825,73.6445,8386,2020-12-28 12:00:00
59,USDRUR_i,73.643,73.604,73.558,73.71,73.634,73.62400000000001,73.619,73.62875,10277,2020-12-28 16:00:00
60,USDRUR_i,73.607,73.684,73.534,73.85,73.69200000000001,73.68933333333334,73.688,73.66875,7301,2020-12-28 20:00:00
61,USDRUR_i,73.676,73.792,73.676,73.971,73.8235,73.813,73.80775,73.77875,100,2020-12-29 00:00:00
62,USDRUR_i,73.792,73.585,73.582,74.002,73.792,73.723,73.68849999999999,73.74025,458,2020-12-29 04:00:00
63,USDRUR_i,73.607,73.46,73.32,73.745,73.5325,73.50833333333333,73.49624999999999,73.53299999999999,8331,2020-12-29 08:00:00
64,USDRUR_i,73.464,73.527,73.271,73.682,73.4765,73.49333333333334,73.50175,73.486,8580,2020-12-29 12:00:00
65,USDRUR_i,73.525,73.885,73.489,74.003,73.74600000000001,73.79233333333333,73.8155,73.72550000000001,11527,2020-12-29 16:00:00
66,USDRUR_i,73.889,73.901,73.735,74.068,73.9015,73.90133333333334,73.90125,73.89825,8313,2020-12-29 20:00:00
67,USDRUR_i,73.903,73.517,73.517,73.985,73.751,73.673,73.634,73.7305,20,2020-12-30 00:00:00
68,USDRUR_i,73.517,73.425,73.323,73.688,73.5055,73.47866666666665,73.46525,73.48825,101,2020-12-30 04:00:00
69,USDRUR_i,73.45,74.365,73.369,74.385,73.87700000000001,74.03966666666668,74.12100000000001,73.89225,8432,2020-12-30 08:00:00
70,USDRUR_i,74.36,74.749,74.17,74.768,74.469,74.56233333333333,74.609,74.51174999999999,9336,2020-12-30 12:00:00
71,USDRUR_i,74.745,74.422,74.163,74.894,74.52850000000001,74.49300000000001,74.47525,74.55600000000001,11535,2020-12-30 16:00:00
72,USDRUR_i,74.421,74.252,74.065,74.452,74.2585,74.25633333333333,74.25525,74.2975,8174,2020-12-30 20:00:00
73,USDRUR_i,74.291,74.273,74.179,74.352,74.2655,74.268,74.26925,74.27375,143,2020-12-31 00:00:00
74,USDRUR_i,74.296,74.197,74.099,74.296,74.1975,74.19733333333333,74.19725,74.22200000000001,35,2020-12-31 04:00:00
75,USDRUR_i,74.38,74.924,74.132,75.168,74.65,74.74133333333334,74.787,74.65100000000001,4011,2020-12-31 08:00:00
76,USDRUR_i,74.915,74.176,74.145,75.0,74.57249999999999,74.44033333333333,74.37424999999999,74.559,4837,2020-12-31 12:00:00
77,USDRUR_i,74.169,74.142,73.654,74.272,73.963,74.02266666666667,74.0525,74.05924999999999,2248,2020-12-31 16:00:00
78,USDRUR_i,74.143,73.924,73.845,74.143,73.994,73.97066666666667,73.959,74.01375,333,2020-12-31 20:00:00
79,USDRUR_i,73.845,74.225,73.845,74.374,74.1095,74.148,74.16725,74.07225,281,2021-01-04 00:00:00
80,USDRUR_i,74.214,74.198,73.826,74.422,74.124,74.14866666666666,74.16099999999999,74.16499999999999,1025,2021-01-04 04:00:00
81,USDRUR_i,74.199,73.012,72.97,74.199,73.58449999999999,73.39366666666666,73.29825,73.595,7537,2021-01-04 08:00:00
82,USDRUR_i,73.011,73.41,73.0,73.559,73.2795,73.323,73.34475,73.245,6697,2021-01-04 12:00:00
83,USDRUR_i,73.4,74.077,73.315,74.326,73.8205,73.90599999999999,73.94874999999999,73.7795,10985,2021-01-04 16:00:00
84,USDRUR_i,74.091,74.421,73.757,74.459,74.108,74.21233333333333,74.2645,74.182,8561,2021-01-04 20:00:00
85,USDRUR_i,74.401,74.142,74.051,74.431,74.241,74.208,74.19149999999999,74.25625,368,2021-01-05 00:00:00
86,USDRUR_i,74.129,74.13,73.975,74.204,74.08949999999999,74.103,74.10974999999999,74.1095,739,2021-01-05 04:00:00
87,USDRUR_i,74.136,74.761,73.867,75.175,74.521,74.601,74.64099999999999,74.48474999999999,8885,2021-01-05 08:00:00
88,USDRUR_i,74.75,74.865,74.34,74.886,74.613,74.697,74.739,74.71025,9133,2021-01-05 12:00:00
89,USDRUR_i,74.86,73.856,73.813,74.92,74.3665,74.19633333333333,74.11125,74.36225,12001,2021-01-05 16:00:00
90,USDRUR_i,73.86,74.219,73.749,74.249,73.999,74.07233333333333,74.109,74.01925,8637,2021-01-05 20:00:00
91,USDRUR_i,74.009,74.004,73.984,74.17,74.077,74.05266666666667,74.04050000000001,74.04175000000001,96,2021-01-06 00:00:00
92,USDRUR_i,74.11,73.818,73.645,74.169,73.907,73.87733333333334,73.8625,73.9355,195,2021-01-06 04:00:00
93,USDRUR_i,73.814,73.543,73.3,73.92,73.61,73.58766666666666,73.57650000000001,73.64425,7387,2021-01-06 08:00:00
94,USDRUR_i,73.54,73.84,73.32,73.874,73.597,73.678,73.7185,73.6435,8620,2021-01-06 12:00:00
95,USDRUR_i,73.843,73.604,73.539,74.144,73.8415,73.76233333333333,73.72274999999999,73.7825,10831,2021-01-06 16:00:00
96,USDRUR_i,73.607,73.823,73.543,74.022,73.7825,73.79599999999999,73.80274999999999,73.74875,9638,2021-01-06 20:00:00
97,USDRUR_i,74.014,74.036,73.823,74.036,73.92949999999999,73.96499999999999,73.98275,73.97725,5,2021-01-07 00:00:00
98,USDRUR_i,73.988,73.892,73.5,73.988,73.744,73.79333333333334,73.818,73.842,1938,2021-01-07 08:00:00
99,USDRUR_i,73.889,74.362,73.889,74.497,74.193,74.24933333333333,74.2775,74.15925,2217,2021-01-07 12:00:00
100,USDRUR_i,74.372,74.648,74.234,74.867,74.5505,74.583,74.59925,74.53025,3199,2021-01-07 16:00:00
101,USDRUR_i,74.652,74.625,74.276,74.743,74.5095,74.548,74.56725,74.574,2566,2021-01-07 20:00:00
102,USDRUR_i,74.618,74.551,74.487,74.642,74.5645,74.56,74.55775,74.5745,172,2021-01-08 00:00:00
103,USDRUR_i,74.562,74.125,73.967,74.624,74.2955,74.23866666666667,74.21025,74.3195,739,2021-01-08 04:00:00
104,USDRUR_i,74.124,74.308,73.854,74.735,74.2945,74.29899999999999,74.30125,74.25524999999999,8382,2021-01-08 08:00:00
105,USDRUR_i,74.31,73.869,73.764,74.44,74.102,74.02433333333333,73.9855,74.09575000000001,9125,2021-01-08 12:00:00
106,USDRUR_i,73.868,74.14,73.725,74.295,74.00999999999999,74.05333333333333,74.07499999999999,74.00699999999999,11756,2021-01-08 16:00:00
107,USDRUR_i,74.144,74.058,73.935,74.492,74.21350000000001,74.16166666666668,74.13575,74.15725,9614,2021-01-08 20:00:00
108,USDRUR_i,73.926,74.316,73.852,74.458,74.155,74.20866666666667,74.2355,74.138,696,2021-01-11 00:00:00
109,USDRUR_i,74.333,74.447,74.278,74.529,74.40350000000001,74.418,74.42525,74.39675,1000,2021-01-11 04:00:00
