,XAUUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,XAUUSD_i,1852.58,1850.26,1844.5,1854.16,1849.33,1849.64,1849.795,1850.375,15412,2020-12-15 16:00:00
1,XAUUSD_i,1850.26,1853.3,1850.24,1854.51,1852.375,1852.6833333333334,1852.8375,1852.0775,7766,2020-12-15 20:00:00
2,XAUUSD_i,1853.73,1851.58,1850.79,1853.91,1852.35,1852.0933333333332,1851.965,1852.5025,4113,2020-12-16 00:00:00
3,XAUUSD_i,1851.62,1855.27,1851.55,1858.22,1854.885,1855.0133333333333,1855.0774999999999,1854.165,8264,2020-12-16 04:00:00
4,XAUUSD_i,1855.27,1864.82,1853.03,1865.2,1859.115,1861.0166666666667,1861.9675,1859.58,14262,2020-12-16 08:00:00
5,XAUUSD_i,1864.81,1851.6,1849.06,1865.6,1857.33,1855.42,1854.4650000000001,1857.7675,20430,2020-12-16 12:00:00
6,XAUUSD_i,1851.59,1854.7,1849.21,1858.75,1853.98,1854.22,1854.34,1853.5625,19686,2020-12-16 16:00:00
7,XAUUSD_i,1854.69,1863.86,1844.57,1865.41,1854.99,1857.9466666666667,1859.425,1857.1325000000002,17461,2020-12-16 20:00:00
8,XAUUSD_i,1863.27,1864.29,1862.34,1867.34,1864.84,1864.6566666666665,1864.5649999999998,1864.31,6080,2020-12-17 00:00:00
9,XAUUSD_i,1864.3,1869.38,1861.84,1870.24,1866.04,1867.1533333333334,1867.71,1866.44,8280,2020-12-17 04:00:00
10,XAUUSD_i,1869.38,1878.54,1868.23,1882.94,1875.585,1876.57,1877.0625,1874.7725,16211,2020-12-17 08:00:00
11,XAUUSD_i,1878.54,1887.64,1871.8,1889.84,1880.82,1883.0933333333332,1884.23,1881.955,19313,2020-12-17 12:00:00
12,XAUUSD_i,1887.64,1887.19,1883.35,1896.0,1889.675,1888.8466666666666,1888.4325,1888.545,21852,2020-12-17 16:00:00
13,XAUUSD_i,1887.19,1885.84,1882.35,1888.79,1885.57,1885.6599999999999,1885.705,1886.0425,8963,2020-12-17 20:00:00
14,XAUUSD_i,1884.56,1879.82,1878.36,1885.36,1881.86,1881.18,1880.84,1882.025,5767,2020-12-18 00:00:00
15,XAUUSD_i,1879.87,1882.57,1878.84,1886.56,1882.6999999999998,1882.6566666666665,1882.6349999999998,1881.9599999999998,7742,2020-12-18 04:00:00
16,XAUUSD_i,1882.57,1879.48,1877.24,1883.17,1880.205,1879.9633333333331,1879.8424999999997,1880.6149999999998,11604,2020-12-18 08:00:00
17,XAUUSD_i,1879.49,1885.06,1877.84,1889.41,1883.625,1884.1033333333332,1884.3424999999997,1882.9499999999998,16487,2020-12-18 12:00:00
18,XAUUSD_i,1885.11,1883.96,1877.4,1888.12,1882.76,1883.1599999999999,1883.36,1883.6474999999998,20099,2020-12-18 16:00:00
19,XAUUSD_i,1883.96,1880.47,1878.24,1884.65,1881.4450000000002,1881.1200000000001,1880.9575000000002,1881.8300000000002,6198,2020-12-18 20:00:00
20,XAUUSD_i,1882.34,1896.54,1882.3,1899.24,1890.77,1892.6933333333334,1893.655,1890.105,10046,2020-12-21 00:00:00
21,XAUUSD_i,1896.54,1902.6,1893.15,1902.99,1898.0700000000002,1899.58,1900.335,1898.82,10701,2020-12-21 04:00:00
22,XAUUSD_i,1902.6,1886.35,1880.23,1906.56,1893.395,1891.0466666666664,1889.8725,1893.935,19914,2020-12-21 08:00:00
23,XAUUSD_i,1886.32,1881.99,1854.97,1886.32,1870.645,1874.4266666666665,1876.3174999999999,1877.3999999999999,32844,2020-12-21 12:00:00
24,XAUUSD_i,1882.01,1877.84,1874.44,1885.56,1880.0,1879.28,1878.92,1879.9625,25168,2020-12-21 16:00:00
25,XAUUSD_i,1877.84,1876.24,1873.84,1879.65,1876.745,1876.5766666666666,1876.4924999999998,1876.8925,11170,2020-12-21 20:00:00
26,XAUUSD_i,1879.13,1881.42,1875.55,1882.65,1879.1,1879.8733333333332,1880.26,1879.6875,7618,2020-12-22 00:00:00
27,XAUUSD_i,1881.42,1875.8,1874.28,1884.08,1879.1799999999998,1878.0533333333333,1877.49,1878.895,10797,2020-12-22 04:00:00
28,XAUUSD_i,1875.8,1871.88,1866.38,1878.6,1872.49,1872.2866666666669,1872.1850000000002,1873.1650000000002,17724,2020-12-22 08:00:00
29,XAUUSD_i,1871.88,1878.56,1869.94,1878.98,1874.46,1875.8266666666666,1876.5099999999998,1874.84,16738,2020-12-22 12:00:00
30,XAUUSD_i,1878.56,1867.43,1860.54,1881.31,1870.925,1869.76,1869.1775,1871.96,22633,2020-12-22 16:00:00
31,XAUUSD_i,1867.37,1859.75,1858.65,1867.66,1863.1550000000002,1862.0200000000002,1861.4525,1863.3575,8320,2020-12-22 20:00:00
32,XAUUSD_i,1860.82,1865.88,1860.17,1867.41,1863.79,1864.4866666666667,1864.835,1863.57,8295,2020-12-23 00:00:00
33,XAUUSD_i,1865.83,1866.27,1861.56,1867.93,1864.745,1865.2533333333333,1865.5075000000002,1865.3975,8735,2020-12-23 04:00:00
34,XAUUSD_i,1866.27,1868.47,1862.89,1872.17,1867.5300000000002,1867.8433333333335,1868.0000000000002,1867.4500000000003,13006,2020-12-23 08:00:00
35,XAUUSD_i,1868.5,1868.41,1856.88,1870.3,1863.5900000000001,1865.1966666666667,1866.0,1866.0225,20489,2020-12-23 12:00:00
36,XAUUSD_i,1868.4,1872.82,1866.34,1878.3,1872.32,1872.4866666666667,1872.57,1871.4650000000001,20585,2020-12-23 16:00:00
37,XAUUSD_i,1872.82,1872.44,1869.63,1874.26,1871.9450000000002,1872.11,1872.1925,1872.2875,6891,2020-12-23 20:00:00
38,XAUUSD_i,1873.17,1876.43,1870.8,1877.42,1874.1100000000001,1874.8833333333334,1875.2700000000002,1874.4550000000002,5713,2020-12-24 00:00:00
39,XAUUSD_i,1876.43,1875.65,1873.74,1879.83,1876.7849999999999,1876.4066666666665,1876.2174999999997,1876.4125,6809,2020-12-24 04:00:00
40,XAUUSD_i,1875.65,1877.87,1874.66,1880.37,1877.5149999999999,1877.6333333333332,1877.6924999999999,1877.1374999999998,10325,2020-12-24 08:00:00
41,XAUUSD_i,1877.92,1873.72,1870.9,1877.97,1874.435,1874.1966666666667,1874.0775,1875.1275,9886,2020-12-24 12:00:00
42,XAUUSD_i,1873.67,1879.43,1869.29,1879.71,1874.5,1876.1433333333334,1876.9650000000001,1875.525,10405,2020-12-24 16:00:00
43,XAUUSD_i,1879.43,1879.11,1878.58,1883.16,1880.87,1880.283333333333,1879.9899999999998,1880.07,1004,2020-12-24 20:00:00
44,XAUUSD_i,1888.52,1898.14,1883.9,1898.75,1891.325,1893.5966666666666,1894.7325,1892.3274999999999,9479,2020-12-28 00:00:00
45,XAUUSD_i,1898.14,1890.03,1887.28,1900.03,1893.655,1892.4466666666667,1891.8425,1893.8700000000001,8581,2020-12-28 04:00:00
46,XAUUSD_i,1890.08,1885.32,1877.25,1890.44,1883.845,1884.3366666666668,1884.5825,1885.7725,12852,2020-12-28 08:00:00
47,XAUUSD_i,1885.32,1887.58,1869.01,1887.83,1878.42,1881.4733333333334,1883.0,1882.435,16045,2020-12-28 12:00:00
48,XAUUSD_i,1887.55,1876.38,1875.4,1896.32,1885.8600000000001,1882.7,1881.1200000000001,1883.9125000000001,18179,2020-12-28 16:00:00
49,XAUUSD_i,1876.34,1872.87,1870.98,1878.93,1874.955,1874.26,1873.9125,1874.78,6242,2020-12-28 20:00:00
50,XAUUSD_i,1875.06,1878.26,1874.58,1882.51,1878.545,1878.45,1878.4025000000001,1877.6025,6234,2020-12-29 00:00:00
51,XAUUSD_i,1878.24,1876.81,1874.91,1881.84,1878.375,1877.8533333333332,1877.5924999999997,1877.9499999999998,9026,2020-12-29 04:00:00
52,XAUUSD_i,1876.81,1881.76,1875.36,1883.3,1879.33,1880.14,1880.545,1879.3075,10400,2020-12-29 08:00:00
53,XAUUSD_i,1881.81,1879.58,1874.01,1882.85,1878.4299999999998,1878.8133333333333,1879.0049999999999,1879.5625,13122,2020-12-29 12:00:00
54,XAUUSD_i,1879.58,1878.87,1871.48,1886.23,1878.855,1878.86,1878.8625,1879.04,17645,2020-12-29 16:00:00
55,XAUUSD_i,1878.87,1877.99,1876.44,1879.75,1878.095,1878.0600000000002,1878.0425,1878.2625,5515,2020-12-29 20:00:00
